perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3.6_months_late,Count_6.12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,renewal
0.031,15707,64140,0,0,0,98.99,10,A,Urban,1200,1
0.553,12056,120130,0,0,0,98.26,13,D,Urban,7500,0
0.171,23368,200090,0,0,0,98.52,20,B,Urban,13800,1
0.603,16438,175140,0,0,0,99.4,11,B,Urban,15900,1
0.288,22639,630070,0,0,0,99.35,12,A,Rural,26400,1
0.088,16433,286580,0,0,0,98.56,20,A,Rural,13800,1
0.654,21546,72070,0,0,0,98.81,7,A,Urban,5400,1
0.122,29206,300090,0,0,0,99.87,6,B,Urban,30600,1
0.014,17897,128050,1,0,0,98.98,16,A,Urban,7500,1
0.159,21546,274150,0,0,0,98.68,15,B,Rural,1200,1
0.022,23009,51050,0,0,0,97.9,9,A,Rural,3300,1
0.951,20449,225040,0,0,0,99.41,14,A,Urban,9600,1
0.048,21549,181810,1,0,0,99.29,12,A,Urban,9600,1
0.04,17898,162100,0,0,0,97.68,20,D,Urban,7500,1
0.03,24104,220090,0,0,0,99.66,17,B,Urban,13800,1
0.01,12059,75110,0,0,0,NA,4,C,Rural,1200,1
0.02,20083,162060,1,0,0,99.24,9,A,Urban,9600,1
0.002,25925,87520,0,0,0,NA,4,A,Urban,5400,1
0.486,16439,219890,0,0,0,98.82,16,B,Urban,1200,1
0.017,18261,205140,0,0,0,99.78,13,D,Rural,1200,1
0.831,17163,359550,0,0,0,98.83,18,A,Rural,3300,1
0.06,28118,212570,0,0,0,99.87,13,A,Rural,11700,1
0.18,14611,132140,0,0,0,98.54,10,D,Rural,5400,1
0.021,13511,82850,0,0,0,99.32,10,D,Rural,11700,1
0,10591,93060,0,0,0,99.12,4,B,Rural,3300,1
0.552,21543,291150,0,0,0,99.4,12,B,Rural,20100,1
0.948,16434,162090,0,0,0,98.98,9,C,Urban,13800,1
0.014,24098,392080,0,0,0,99.76,18,A,Urban,1200,1
0.017,20451,303200,0,0,0,98.97,8,B,Urban,15900,1
0.013,13152,165660,0,0,0,99.89,8,B,Urban,11700,1
0.03,21915,315150,0,0,0,99.58,18,A,Rural,13800,1
0.061,15700,213450,0,0,0,99.71,8,C,Urban,11700,1
0.53,16070,340130,0,0,0,98.72,16,A,Urban,41100,1
0,25564,136230,0,0,0,NA,3,A,Urban,5400,1
1,18623,363080,0,1,0,NA,11,C,Urban,13800,1
1,14614,105110,0,0,0,99.45,3,A,Rural,5400,1
0.561,16799,112590,0,0,0,96.97,14,C,Urban,5400,1
0.279,12050,52630,0,0,0,98.52,12,C,Rural,5400,1
0.007,23009,226550,0,0,0,99.2,9,A,Rural,9600,1
0.379,22279,149750,0,0,0,98.78,27,B,Urban,7500,1
0.751,20453,81080,0,0,0,97.26,7,A,Urban,7500,1
0.634,14612,200050,0,0,0,99.14,9,D,Rural,15900,1
0.015,13519,147560,0,0,0,99.57,11,D,Urban,9600,1
0.376,22637,185210,1,0,0,99.12,14,B,Rural,11700,1
1,8772,31380,NA,NA,NA,NA,2,A,Urban,1200,1
0.015,29215,99070,0,0,0,99.86,15,A,Urban,13800,1
0.481,22272,90070,0,0,0,98,19,B,Urban,5400,1
0.018,23007,160780,0,0,0,99.2,14,A,Urban,18000,1
0.567,27390,240100,0,0,0,99.68,7,A,Urban,18000,1
0.318,19719,262530,0,0,0,98.39,14,C,Rural,20100,1
0.186,21185,384840,0,0,0,99.28,7,A,Urban,30600,1
0.003,22641,315140,0,0,0,NA,11,A,Urban,28500,1
0,12053,237550,0,0,0,98.51,9,C,Rural,11700,1
0.7,9868,62080,0,0,0,99.34,6,C,Urban,1200,1
0,18625,45100,0,0,0,98.16,7,A,Urban,3300,1
0.949,15340,165150,0,0,0,99.5,7,A,Urban,9600,1
0.055,20450,148570,0,0,0,98.76,20,A,Rural,1200,1
0,21909,476050,0,0,0,99.55,16,A,Rural,11700,1
0.039,25198,186090,0,0,0,99.14,10,B,Urban,13800,1
0.245,21912,120060,0,0,0,98.97,14,A,Rural,1200,1
0.025,19355,114050,0,0,0,98.82,9,C,Urban,7500,1
0.556,13878,207030,0,0,0,99.25,5,A,Urban,7500,1
0,17530,262670,0,0,0,99.38,9,C,Urban,15900,1
0.006,20813,157640,0,0,0,99.3,13,D,Urban,13800,1
0.939,13150,72090,0,0,0,99.81,4,A,Urban,1200,1
0.05,27021,195090,0,0,0,99.81,8,A,Urban,7500,1
0.297,23370,250030,0,0,0,98.55,8,B,Rural,3300,1
0.06,18630,150140,0,0,0,99.56,11,C,Urban,13800,1
0.632,18255,155060,1,0,0,98.46,12,C,Rural,9600,1
0.643,17162,105430,1,0,0,96.83,13,A,Urban,5400,1
0.635,17162,189010,0,0,0,98.46,7,B,Rural,15900,1
0.113,19355,103110,0,0,0,99.24,21,D,Urban,9600,1
0,13151,108630,0,0,0,99.71,5,A,Rural,7500,1
0.919,17899,750050,0,0,0,98.95,20,D,Urban,28500,1
1,18993,99070,0,0,0,98.2,6,A,Rural,7500,1
0.256,16067,95810,2,0,0,98.4,11,B,Rural,1200,1
0.109,8403,96950,0,0,0,99.82,8,A,Rural,9600,1
0.153,15706,226960,0,0,0,98.52,16,A,Rural,3300,1
0.546,20817,531110,0,0,0,99.15,16,B,Urban,43200,1
0.001,10233,180130,1,1,0,99.77,10,A,Rural,1200,1
0.048,18627,172590,0,0,0,98.87,18,D,Urban,7500,1
0.367,10955,175070,0,0,0,99.61,8,A,Rural,11700,1
0.408,16437,279050,0,0,0,99.18,11,A,Urban,15900,1
0.577,10595,285080,0,0,0,99.31,12,C,Rural,34800,1
0.104,21547,309610,0,0,0,98.8,12,A,Urban,41100,1
0.049,17892,54960,0,0,0,99.04,5,A,Urban,3300,1
0.046,22644,119210,0,0,0,98.94,10,A,Urban,5400,1
0.156,20817,180070,0,0,1,98.78,13,A,Rural,7500,1
0.623,24460,66110,0,0,0,99.25,4,A,Urban,5400,1
0.032,19716,219960,0,0,0,99.4,7,B,Urban,9600,1
0,23740,125980,1,0,0,99.23,20,A,Rural,5400,1
0.056,20818,66060,1,0,0,99.88,7,D,Rural,3300,1
0.025,27021,135080,0,0,0,99.89,7,A,Rural,13800,1
0.497,17534,140170,0,0,0,99.28,11,B,Rural,11700,1
0.715,18988,180080,1,0,0,98.44,10,A,Urban,11700,1
0.057,17894,156130,0,0,0,98.54,10,A,Rural,9600,1
0.049,23001,112060,0,0,0,99.74,9,A,Urban,7500,1
1,25927,135100,0,0,0,99.12,4,A,Urban,7500,1
0.313,16805,104370,0,0,0,98.85,7,B,Urban,3300,1
0.254,18987,210030,0,0,0,98.53,15,B,Urban,9600,1
0.059,14609,93870,0,0,0,99.86,6,A,Urban,3300,1
0.074,23366,285480,0,0,0,99.79,5,A,Rural,13800,1
0.003,13514,113270,0,0,0,98.29,13,A,Urban,7500,1
0.647,21912,324050,3,2,4,97.73,13,B,Rural,13800,0
0.497,22637,53090,0,0,0,98.31,10,A,Urban,5700,1
0,17162,267620,0,0,0,99.21,9,A,Urban,13800,1
0.305,13153,315130,0,0,0,99.63,12,A,Rural,13800,1
0.182,14611,287640,0,0,0,98.89,13,C,Rural,15900,1
0.995,13513,36090,1,0,0,96.22,9,C,Urban,1200,1
0.506,17530,225030,0,0,0,99.27,9,C,Rural,15900,1
0.849,8403,255070,0,0,0,99.72,14,A,Urban,1200,0
0,14979,252140,0,0,0,99.71,7,D,Rural,9600,1
0.431,20081,298290,0,0,0,99.48,6,A,Urban,18000,1
0.013,20088,42150,0,0,0,99.89,5,A,Urban,3300,1
0.071,24097,90110,1,0,0,98.9,13,B,Rural,3300,1
0.97,9136,30140,0,0,0,99.37,10,A,Rural,3300,1
0.603,17529,364550,2,1,3,99.61,8,A,Rural,26400,1
0.257,23733,75150,0,0,0,96.97,17,A,Urban,5400,1
0.295,16074,192580,0,0,0,98.17,18,A,Rural,20100,1
0.414,20083,141110,0,0,0,99.14,13,B,Rural,15900,1
0.463,29936,288060,0,0,0,99.02,16,A,Rural,22200,1
0.952,16799,126100,0,0,0,98.4,7,B,Urban,5400,1
0.434,25193,165120,0,0,0,99.43,20,A,Urban,9600,1
0.007,23370,142570,0,0,0,99.89,15,A,Rural,5700,1
0.283,10228,230020,0,0,0,99.45,31,A,Rural,9600,1
0.123,15706,246030,0,1,0,99.72,9,B,Urban,15900,1
0.166,22640,212780,0,0,0,99.39,11,B,Urban,11700,1
0.61,23372,116140,1,0,0,99.31,8,A,Urban,7500,1
0.895,15345,102610,0,0,0,99.36,4,A,Rural,5700,1
0.88,21915,96030,0,0,0,98.35,13,A,Urban,5700,1
0,24829,162390,0,0,0,NA,9,A,Rural,13800,1
0.436,15701,169070,0,0,0,98.04,8,C,Urban,13800,1
0.004,17170,403250,0,0,0,99.43,13,C,Rural,20100,1
0.626,20447,163500,0,0,0,99.57,7,A,Rural,1200,1
0.637,17164,225080,1,0,0,98.8,18,B,Urban,15900,1
0.063,25196,267130,0,0,0,99.24,13,A,Rural,24300,1
0.026,14249,1020080,1,0,0,99.55,17,D,Urban,60000,1
0.015,13885,126110,0,0,0,99.88,19,A,Urban,3300,1
0.24,20817,390100,0,0,0,99.27,6,A,Urban,13800,1
0,16069,172960,0,0,0,99.54,9,A,Rural,9600,1
0.258,15341,48110,1,0,0,98.78,7,A,Urban,5700,1
0.047,18994,572360,0,0,0,99.8,11,C,Rural,15900,1
0.014,19718,180040,0,0,0,99.7,12,B,Rural,13800,1
0.208,16434,350070,0,0,0,98.69,15,D,Rural,18000,1
0.001,15703,102580,0,0,0,99.55,15,A,Urban,5400,1
0.03,19350,103580,0,0,0,NA,4,A,Urban,3300,1
0.361,13146,109410,0,0,0,99.19,20,B,Urban,5400,1
0.089,13150,72850,1,0,1,98.6,9,A,Urban,5400,1
0.006,22271,216130,1,0,0,99.29,11,A,Rural,20100,1
0.069,14241,195750,0,0,0,98.86,8,B,Rural,18000,1
0.055,25922,267070,0,0,0,99.48,11,A,Urban,13800,1
0.006,29579,315050,0,0,0,NA,11,A,Urban,18000,1
0.295,12421,120090,0,0,0,99.31,9,A,Rural,5400,1
0.047,14610,250160,0,0,0,99.34,8,A,Urban,18000,1
0.186,18620,219970,0,0,0,99.38,19,A,Rural,1200,1
0.114,20452,258130,0,0,0,99.1,13,C,Urban,32700,1
0.024,16796,198540,0,0,0,99.08,16,D,Urban,9600,1
0.15,26287,112540,0,0,0,98.67,22,A,Urban,5400,1
1,17534,162050,0,0,0,99.73,4,A,Rural,5400,1
0.388,15702,150040,0,0,0,97.71,15,C,Rural,5400,1
0.058,15702,210040,0,0,0,99.32,15,C,Rural,5400,1
0.079,24104,187640,1,0,1,98.96,19,A,Rural,11700,1
0.046,16075,246080,1,0,0,99.36,10,A,Urban,13800,1
0.047,14970,75030,0,0,0,99.17,11,A,Urban,5400,1
0.195,23736,117150,1,0,0,99.81,11,A,Rural,7500,0
0.067,11692,225110,0,0,0,99.19,20,A,Rural,9600,1
0.463,24095,405040,0,0,0,99.12,15,B,Urban,30600,1
0.217,22272,103150,3,1,0,98.6,13,A,Urban,5400,1
0,18620,387740,0,0,0,98.56,10,C,Urban,26400,0
0,15707,462540,1,0,0,99,8,A,Urban,32700,1
0.94,19353,90030,0,0,1,99.17,7,C,Rural,3300,1
0.482,19724,251130,0,0,0,98.34,11,D,Urban,22200,1
0.203,18262,262550,0,0,0,98.77,20,A,Urban,13800,1
0.329,23010,412580,0,0,0,99.17,15,B,Rural,3300,1
0.413,18989,358630,1,1,1,99.7,10,B,Rural,20100,1
0.004,15338,90970,0,0,0,99.2,12,A,Urban,5400,1
0.098,20088,125070,0,0,0,99.84,9,B,Urban,1200,1
0.259,14246,156780,0,0,0,99.02,7,A,Urban,9600,1
0.518,12420,270080,0,0,0,99.54,11,B,Urban,18000,1
0.012,22643,231870,0,0,0,97.8,14,A,Urban,9600,1
0.612,18988,195100,0,0,0,98.84,12,A,Urban,1200,1
0.569,16069,165060,0,0,0,98.31,15,A,Rural,3300,1
0.141,11689,180150,0,0,0,99.07,9,C,Rural,15900,1
0.19,20810,256020,1,1,0,99.2,14,A,Urban,18000,1
0.893,9864,42100,1,0,1,99.76,3,A,Urban,5700,0
0.004,27017,187570,0,0,0,NA,11,A,Urban,7500,1
0,14609,557530,0,0,0,99.54,7,B,Rural,3300,1
0.01,27750,182620,0,0,0,99.53,12,A,Urban,20100,1
0.523,23733,600100,0,0,0,99.3,24,B,Rural,34800,1
0.044,16436,190070,0,0,0,98.49,12,B,Urban,7500,1
0.08,19718,360140,0,0,0,99.03,7,B,Urban,9600,1
0.033,19719,180060,0,0,0,99.25,5,C,Urban,18000,1
0.252,18258,217920,2,0,0,99.11,7,A,Rural,11700,1
0.012,27018,180070,0,0,0,99.89,10,A,Rural,18000,1
0,21177,225080,0,0,0,98,9,A,Urban,13800,1
0.105,13145,246050,0,0,0,99.12,11,A,Urban,18000,1
0.882,12788,145070,0,0,2,99.64,5,A,Rural,9600,1
1,19720,115840,0,0,0,99.73,3,B,Rural,13800,1
0.004,16440,145140,0,0,0,99.17,13,B,Urban,7500,1
0.717,12790,165060,0,0,1,99.85,6,D,Rural,7500,0
1,15341,81830,0,2,0,99.06,4,B,Urban,3300,0
0.021,24828,375150,0,0,0,99.52,11,A,Urban,18000,1
0.676,30302,273070,1,0,0,99.35,14,A,Urban,15900,1
0.993,17166,63860,0,0,0,98.23,9,D,Urban,3300,1
0.458,21181,201050,0,0,0,99.48,10,A,Urban,11700,1
0.242,13512,360110,0,0,0,99.28,17,A,Rural,11700,1
0.092,25193,1320030,0,0,0,99.37,17,B,Urban,60000,1
0.003,31767,180090,0,0,0,99.7,13,A,Urban,5400,1
0.292,11689,59340,0,0,0,99.62,7,B,Urban,3300,1
0.057,16797,166370,1,0,0,98.67,16,A,Urban,7500,1
0.035,20449,201090,0,0,0,99.35,18,C,Rural,13800,1
0.01,20451,135120,0,0,0,99.89,13,A,Urban,3300,1
0.001,13516,193290,0,0,0,NA,6,A,Rural,15900,1
0.624,15338,301280,0,0,0,98.95,19,C,Urban,13800,1
0.051,20817,303140,1,0,0,99.61,17,A,Rural,3300,1
0.051,12423,180100,3,0,0,99.65,9,C,Urban,7500,1
0,23004,590110,0,0,0,99.43,14,A,Urban,30600,1
0.004,24834,173820,0,0,0,NA,6,C,Urban,7500,1
0.29,15703,178410,0,0,0,99.6,15,E,Urban,5400,0
0.001,19360,84030,0,0,0,NA,5,A,Urban,3300,1
0.035,16802,141030,0,0,0,98.87,10,C,Urban,13800,1
0.023,23737,287580,0,0,0,98.31,13,A,Urban,20100,1
0.056,25564,244240,0,0,0,99.86,5,A,Urban,15900,1
0.112,9870,159830,0,0,0,99.89,5,C,Urban,9600,1
0.946,16795,139950,5,2,1,98.19,16,C,Urban,11700,1
0.208,21544,195150,0,0,0,99.45,9,B,Urban,7500,1
0.034,14247,233400,0,0,0,99.68,13,D,Urban,9600,1
0,32134,108060,0,0,0,NA,4,A,Urban,7500,1
0.121,21914,197750,1,0,0,98.59,13,A,Urban,11700,1
0.065,12051,237580,2,0,0,99.12,13,B,Rural,1200,0
0.202,9868,54070,0,0,0,98.29,10,B,Rural,3300,1
0.185,24097,257640,0,0,0,99.48,8,A,Urban,15900,1
0.728,15706,144080,0,0,0,98.55,9,C,Rural,7500,1
1,13882,60140,0,0,0,99.36,5,B,Rural,5700,1
0.271,15707,261150,0,0,0,99.58,5,C,Urban,1200,1
0.005,27021,159990,0,0,0,99.3,6,A,Rural,3300,1
0.34,24465,75050,0,0,0,99.22,6,A,Urban,3300,1
0.108,16804,106590,0,0,0,98.37,9,C,Urban,1200,1
0.987,13152,285100,0,0,0,99.22,9,A,Urban,18000,1
0.022,17531,60070,0,0,0,97.59,16,B,Rural,3300,1
0.247,15705,311840,0,0,0,99.09,10,D,Urban,1200,1
0.287,23735,570350,0,0,0,99.34,15,B,Rural,24300,1
0.235,25195,214350,0,0,0,98.48,13,A,Urban,22200,1
0.106,16436,286120,0,0,0,99.41,11,B,Urban,13800,1
0.01,24097,112680,0,0,0,99.16,9,A,Urban,3300,1
0.067,19716,276110,1,0,0,99.21,11,A,Urban,26400,1
0.004,27387,300950,0,0,0,NA,11,A,Rural,15900,1
0.186,20085,387130,0,0,0,99.42,4,A,Rural,9600,1
0.035,24832,153850,0,0,0,98.87,14,A,Rural,5400,1
0.288,23365,216110,0,0,0,98.49,18,B,Urban,5400,1
0.335,25565,478350,0,0,0,99.32,14,A,Urban,28500,1
0.963,19721,407600,1,2,1,99.51,17,A,Urban,3300,0
0.134,11329,195080,0,0,0,99.74,6,A,Urban,11700,1
0.969,20450,412580,0,0,0,98.85,19,E,Urban,18000,0
0.043,16433,266070,0,0,0,99.01,21,B,Urban,20100,1
1,9136,60100,1,0,1,99.51,3,C,Urban,3300,1
0.438,13514,146390,1,1,1,99.14,8,C,Urban,15900,1
0.864,13882,120070,0,2,0,98.93,8,C,Rural,9600,1
0.142,17170,150040,0,0,0,99.07,10,C,Urban,5400,1
0.071,15343,247630,0,0,0,98.85,13,B,Urban,18000,1
0.115,11326,162570,0,0,0,99.85,4,A,Urban,11700,1
0.028,27015,250080,0,0,0,99.74,15,A,Rural,7500,1
0.187,11323,75090,0,0,0,98.3,9,B,Rural,3300,1
0,13150,216070,0,0,0,99.44,14,A,Urban,15900,1
0.155,23005,276040,0,0,0,99.11,13,B,Rural,13800,1
0.575,13154,65090,0,0,0,99.51,5,A,Rural,3300,1
0.557,16434,273130,1,0,0,98.63,16,C,Urban,11700,1
0.022,17169,187570,0,0,0,99.88,8,A,Urban,13800,1
0.707,11689,275880,0,0,0,99.21,10,B,Rural,13800,1
0.782,9496,73010,0,0,0,99.63,6,B,Urban,3300,1
0.702,14973,271170,2,0,0,99.37,17,A,Rural,28500,1
0.105,13147,129130,0,0,0,99.21,10,B,Rural,1200,1
0.065,20819,180140,3,1,1,99.71,8,A,Urban,7500,1
0.326,16432,103610,0,0,0,99.61,16,C,Urban,7500,1
0.641,18258,201280,0,0,0,97.99,10,B,Rural,9600,1
0,9503,120070,0,0,0,NA,3,A,Urban,5400,1
0.001,20818,272580,0,0,0,99.51,7,B,Rural,1200,1
0.014,22637,105050,0,0,0,99.24,6,A,Urban,5700,1
0.096,20811,297180,0,0,0,99.3,10,A,Rural,13800,1
0.059,25925,318960,0,0,0,99.42,15,B,Rural,1200,1
0.068,20454,220330,0,0,0,99.3,13,C,Urban,18000,1
1,14614,360110,0,0,0,99.36,7,C,Rural,24300,1
0.319,15345,247530,0,0,0,98.68,10,C,Rural,13800,1
0.078,20448,166040,0,0,0,97.68,11,A,Rural,18000,0
0.002,23003,220070,0,0,0,99.83,10,A,Urban,11700,1
0.793,15705,120110,1,1,1,98.9,9,B,Urban,5400,0
0,11330,224680,0,0,0,NA,14,A,Urban,11700,1
0,13878,94970,0,1,0,98.73,9,A,Rural,7500,1
0,23005,515500,0,0,0,99.35,9,B,Rural,22200,1
0.885,20085,336120,0,0,0,99.19,14,C,Urban,3300,1
0.557,8410,24700,0,0,0,99.78,4,A,Urban,1200,1
0.034,15709,166620,0,0,0,99.14,10,D,Urban,13800,1
0.548,19359,291070,0,0,0,99.05,16,A,Urban,9600,1
0.888,18995,195510,1,0,0,98.79,15,B,Urban,7500,1
0.104,11322,110950,0,0,0,99.77,8,A,Urban,5400,1
0.137,21182,417650,0,0,0,99.2,14,A,Urban,22200,1
0.615,9865,177100,1,0,0,99.66,7,B,Urban,7500,1
0.013,29939,61140,0,0,0,99.89,9,A,Rural,1200,1
0.651,19725,168130,0,0,0,97.26,34,B,Rural,5400,1
0.624,20814,144570,0,1,0,99.52,6,A,Rural,7500,1
0.005,30302,187620,0,0,0,NA,13,A,Rural,1200,1
0.167,16075,148780,0,0,0,99.21,9,B,Urban,7500,1
0.02,28114,61580,0,0,0,99.57,9,A,Rural,5400,1
0.007,9867,126130,0,0,0,NA,7,A,Urban,9600,1
0.03,20812,248110,0,0,0,99.25,9,C,Urban,11700,1
0,28116,105850,0,0,0,NA,4,A,Urban,5400,1
0.009,26288,392300,0,0,0,99.89,19,B,Rural,3300,1
0.041,16803,118780,0,0,0,98.74,7,C,Urban,7500,1
0.42,23002,300090,1,1,0,98.89,15,A,Rural,3300,0
0,19356,204590,2,0,3,99.03,11,C,Urban,7500,0
0.032,18260,266700,0,0,0,99.27,11,B,Urban,18000,1
0.874,13148,142680,2,4,0,98.92,10,B,Urban,9600,0
0.199,14609,402040,0,0,0,99.02,14,C,Urban,5400,1
1,18995,40400,2,1,3,97.84,4,B,Urban,5700,0
0.052,14614,300150,0,0,0,99.37,15,C,Urban,13800,1
0.062,17899,246070,0,0,0,99.62,6,A,Rural,20100,1
0.19,14246,277140,0,0,0,99.64,12,C,Urban,15900,1
0.055,22636,325160,0,0,0,99.42,8,A,Urban,15900,1
0.019,23010,185050,0,0,0,99.71,13,A,Urban,5400,1
0.366,11687,322610,0,0,0,99.65,8,D,Rural,13800,1
0.853,9140,76750,2,0,0,99.87,4,A,Urban,5400,1
0.106,17160,132020,0,0,1,98.88,11,C,Urban,11700,1
0.074,21184,219150,0,0,0,99.31,19,A,Urban,15900,1
0,14970,162030,0,0,0,99.58,8,A,Rural,3300,1
0.442,15710,135100,0,0,0,99.62,6,B,Urban,7500,1
1,10591,78110,0,0,0,NA,2,B,Urban,3300,1
0.069,16067,207090,2,0,1,97.62,12,A,Urban,13800,1
0.049,23732,225030,0,0,0,99.18,6,A,Rural,18000,1
0,14243,135090,0,0,0,98.75,8,B,Rural,3300,1
0.299,16065,139630,0,0,0,97.21,12,C,Urban,7500,1
0.474,14243,130620,0,0,0,99.44,12,C,Urban,1200,1
0.02,30674,315090,0,0,0,99.89,13,A,Urban,22200,1
0.008,18256,205020,1,0,0,98.45,13,C,Urban,5400,1
1,20088,87600,1,0,0,99.22,3,A,Rural,5400,1
0.731,9131,188520,1,0,0,99.48,8,A,Urban,13800,1
0.02,25196,360140,0,0,0,99.89,16,A,Urban,20100,1
0.391,18256,186150,0,0,0,98.4,25,D,Urban,3300,1
1,9496,57660,0,0,0,99.67,6,A,Urban,1200,1
0.524,25923,137000,0,0,0,98.77,7,A,Urban,7500,1
1,32134,222320,0,0,0,NA,5,A,Urban,13800,1
0.206,22636,630130,0,0,0,99.59,15,A,Urban,55800,1
1,15341,37630,0,0,0,99.85,6,B,Urban,1200,1
0.097,18988,960070,0,0,0,99.76,10,B,Rural,36900,1
1,8772,120040,0,1,1,99.48,3,A,Urban,7500,1
0.432,20816,211970,0,0,0,99.1,11,B,Urban,13800,1
0.072,18260,480050,0,0,0,99.64,18,D,Urban,22200,1
1,8400,25930,0,0,0,99.63,3,A,Urban,1200,1
0.009,31762,600100,0,0,0,NA,8,A,Urban,28500,1
0.384,30671,240910,1,0,0,99.24,20,B,Rural,7500,1
0.344,8037,24670,1,0,0,99.88,4,A,Urban,1200,1
0.005,18991,165050,0,0,0,99.47,8,A,Rural,13800,1
0.004,25926,28490,0,0,0,99.4,8,A,Rural,1200,1
0.379,11326,336060,0,0,0,99.87,4,C,Rural,7500,1
0.025,21909,186460,0,0,0,99.46,6,D,Urban,9600,1
0.508,10230,118620,0,0,0,99.57,11,A,Urban,1200,1
0.037,24832,50860,0,0,0,98.54,17,A,Rural,5700,1
0.91,15340,135130,1,0,0,98.85,21,C,Urban,1200,1
0.163,21545,232610,0,0,0,99.28,22,A,Urban,5400,1
0.007,25563,62150,0,0,0,98.62,17,A,Rural,3300,1
0.112,15701,145610,0,0,0,99.1,8,A,Rural,11700,1
0.024,22280,250110,0,0,0,99.7,6,A,Urban,22200,1
0.007,16437,210130,0,0,0,99.63,12,B,Rural,11700,1
0,23738,119130,0,0,1,99.78,8,A,Rural,11700,1
0.257,20088,407600,0,0,0,99.53,9,A,Rural,18000,1
0.347,21547,130120,0,0,0,99.61,9,A,Urban,9600,1
0.532,10962,70640,0,0,0,98.93,9,A,Urban,5700,1
0.316,14608,210080,0,0,0,98.27,20,A,Urban,7500,1
0.031,21911,70300,0,0,0,99.73,41,A,Urban,3300,1
0,18622,69630,0,0,0,93.55,14,B,Rural,3300,1
0.201,23735,233940,0,1,0,99.59,12,B,Urban,18000,1
0.251,22640,99070,0,0,0,99.19,28,A,Rural,7500,1
0.699,24098,240120,1,0,0,98.72,18,A,Rural,11700,1
0.036,29579,364240,0,0,0,99.55,9,A,Rural,1200,1
0.002,18991,126420,0,0,0,98.82,19,B,Rural,3300,1
0.22,10959,112620,0,0,0,99.52,6,A,Rural,5400,1
0.428,16435,112770,0,0,0,99.12,10,A,Rural,3300,1
0.282,14973,182230,0,0,0,99.59,6,B,Rural,3300,1
0.01,16796,373710,0,0,0,99.21,15,C,Rural,3300,1
0.754,13885,194820,0,0,0,98.81,9,A,Urban,13800,1
0.754,28110,61260,0,0,0,97.8,10,A,Rural,5400,1
0.131,10957,290580,0,0,0,98.99,9,A,Rural,20100,1
0.062,17526,86930,0,0,0,98.18,10,E,Rural,11700,1
0.982,17161,160570,2,0,0,98.59,14,B,Urban,20100,0
0.677,22274,192840,1,1,2,98.1,10,D,Urban,18000,1
0.024,19352,421000,0,0,0,99.45,16,C,Urban,18000,1
0.009,27386,201510,0,0,0,99.74,8,A,Urban,15900,1
0.172,19351,177130,0,0,0,99.58,4,D,Urban,1200,1
0.853,22274,148120,0,0,0,99.01,13,A,Urban,15900,1
0,16069,144120,0,0,0,98.71,13,A,Rural,3300,1
0.022,18987,210060,0,0,0,98.97,12,A,Urban,13800,1
0.921,26654,285140,0,0,0,98.89,14,B,Urban,13800,0
0,22642,45140,0,0,0,NA,5,A,Rural,5700,1
0.035,16438,87060,0,0,0,99.86,7,A,Urban,5400,1
0,17898,200030,0,0,0,99.44,14,D,Urban,13800,1
0,20818,220040,0,0,0,99.16,14,A,Rural,7500,1
0.606,12423,142320,0,0,0,99.09,10,B,Rural,15900,1
0.985,21185,78970,0,0,0,97.08,16,A,Rural,5700,1
0.252,18621,229260,0,0,0,98.93,15,C,Urban,18000,1
0.363,25563,83390,1,0,0,97.99,21,A,Urban,3300,1
0.826,24466,129720,1,0,0,97.94,9,A,Urban,5400,1
0.137,13511,113930,0,0,0,99.34,13,A,Urban,11700,1
0.992,9869,81080,0,0,0,99.83,5,A,Rural,5400,1
1,24826,82030,0,0,0,97.93,7,C,Urban,3300,0
0.568,15338,165030,0,0,0,98.6,12,C,Urban,11700,1
0.041,23368,267060,0,0,0,99.64,8,A,Rural,18000,1
0.142,12419,141030,1,1,0,99.89,7,B,Urban,9600,1
0.061,14615,150060,0,0,0,98.94,8,A,Rural,3300,1
0.132,11324,180150,0,0,0,99.5,14,C,Urban,9600,1
0.11,21548,474990,0,0,0,99.71,8,B,Urban,20100,1
0.062,14605,82570,0,0,0,99.21,5,C,Urban,3300,1
0.995,14610,160120,1,0,1,99.06,9,A,Rural,18000,1
0,17160,96130,3,0,0,98.43,16,E,Rural,1200,1
0.705,8767,72140,1,0,0,99.75,7,A,Urban,5400,0
0.471,22272,52610,1,0,0,99.03,10,A,Urban,3300,1
0.749,21540,169900,0,0,0,99.01,7,B,Rural,11700,1
0.697,20818,109600,2,1,1,98.87,8,C,Urban,5400,0
0.013,18258,330030,0,0,0,98.76,12,D,Urban,9600,1
0.297,12784,96150,0,0,0,98.84,5,A,Urban,9600,1
0.782,17170,300120,0,0,0,99.45,13,C,Rural,9600,1
0,16072,271940,0,0,0,99.22,5,C,Urban,18000,1
0,28846,150120,0,0,0,98.21,14,B,Urban,7500,1
0.202,19353,354310,0,0,1,99.3,13,B,Rural,30600,1
0.004,17162,450060,0,0,0,99.57,17,A,Urban,3300,1
0.435,19354,132250,0,0,0,99.42,11,B,Urban,7500,1
0.08,22271,239370,0,0,0,98.86,9,A,Urban,9600,1
